years,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2010,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2011,9.1%,5.3%,2.3%,#DIV/0!,5.3%,4.2%,4.7%,4.2%,2.3%,2.3%,4.7%,5.3%,2.3%,5.3%,5.3%,9.1%,2.3%,5.3%,4.2%,2.3%,4.7%,4.2%,4.2%,4.2%,4.2%,4.2%,9.1%,9.1%,5.3%,5.3%,2.3%,2.3%,4.2%,9.1%,5.3%,5.3%,5.3%,5.3%,4.2%,5.3%,5.3%,4.2%,#DIV/0!,2.3%,2.3%,2.3%,5.3%,4.2%,2.3%,4.2%,5.3%,4.2%,5.3%,5.3%,#DIV/0!,2.3%,2.3%,5.3%,2.3%,9.1%,2.3%,9.1%,5.3%,2.3%,4.7%,5.3%,5.3%,#DIV/0!,5.3%,5.3%,5.3%,2.3%,4.2%,4.2%,#DIV/0!,4.2%,9.1%,4.2%,2.3%,4.2%,2.3%,9.1%,9.1%,2.3%,5.3%,5.3%,2.3%,2.3%,2.3%,4.2%,5.3%,9.1%,4.7%,5.3%,4.7%,9.1%,4.2%,9.1%,5.3%,9.1%,5.3%,5.3%,5.3%,#DIV/0!,9.1%,5.3%,2.3%,2.3%,2.3%,5.3%,4.7%,5.3%,4.2%,2.3%,5.3%,9.1%,2.3%,9.1%,5.3%,5.3%,#DIV/0!,5.3%,5.3%,9.1%,5.3%,#DIV/0!,5.3%,5.3%,4.2%,2.3%,2.3%,9.1%,9.1%,2.3%,5.3%,9.1%,4.2%,4.2%,9.1%,9.1%,9.1%,2.3%,4.2%,#DIV/0!,2.3%,4.2%,5.3%,5.3%,#DIV/0!,2.3%,4.7%,5.3%,5.3%,5.3%,5.3%,9.1%,5.3%,4.2%,2.3%,#DIV/0!,2.3%,5.3%,5.3%,4.2%,2.3%,2.3%,2.3%,#DIV/0!,5.3%,5.3%,9.1%,4.7%,4.7%,9.1%,9.1%,4.2%,5.3%,2.3%,9.1%,#DIV/0!,5.3%,5.3%,4.7%,4.2%,2.3%,4.7%,4.2%,9.1%,9.1%,9.1%,5.3%,5.3%,5.3%,5.3%
2012,8.4%,5.2%,2.2%,#DIV/0!,5.2%,4.1%,4.5%,4.1%,2.2%,2.2%,4.5%,5.2%,2.2%,5.2%,5.2%,8.4%,2.2%,5.2%,4.1%,2.2%,4.5%,4.1%,4.1%,4.1%,4.1%,4.1%,8.4%,8.4%,5.2%,5.2%,2.2%,2.2%,4.1%,8.4%,5.2%,5.2%,5.2%,5.2%,4.1%,5.2%,5.2%,4.1%,#DIV/0!,2.2%,2.2%,2.2%,5.2%,4.1%,2.2%,4.1%,5.2%,4.1%,5.2%,5.2%,#DIV/0!,2.2%,2.2%,5.2%,2.2%,8.4%,2.2%,8.4%,5.2%,2.2%,4.5%,5.2%,5.2%,#DIV/0!,5.2%,5.2%,5.2%,2.2%,4.1%,4.1%,#DIV/0!,4.1%,8.4%,4.1%,2.2%,4.1%,2.2%,8.4%,8.4%,2.2%,5.2%,5.2%,2.2%,2.2%,2.2%,4.1%,5.2%,8.4%,4.5%,5.2%,4.5%,8.4%,4.1%,8.4%,5.2%,8.4%,5.2%,5.2%,5.2%,#DIV/0!,8.4%,5.2%,2.2%,2.2%,2.2%,5.2%,4.5%,5.2%,4.1%,2.2%,5.2%,8.4%,2.2%,8.4%,5.2%,5.2%,#DIV/0!,5.2%,5.2%,8.4%,5.2%,#DIV/0!,5.2%,5.2%,4.1%,2.2%,2.2%,8.4%,8.4%,2.2%,5.2%,8.4%,4.1%,4.1%,8.4%,8.4%,8.4%,2.2%,4.1%,#DIV/0!,2.2%,4.1%,5.2%,5.2%,#DIV/0!,2.2%,4.5%,5.2%,5.2%,5.2%,5.2%,8.4%,5.2%,4.1%,2.2%,#DIV/0!,2.2%,5.2%,5.2%,4.1%,2.2%,2.2%,2.2%,#DIV/0!,5.2%,5.2%,8.4%,4.5%,4.5%,8.4%,8.4%,4.1%,5.2%,2.2%,8.4%,#DIV/0!,5.2%,5.2%,4.5%,4.1%,2.2%,4.5%,4.1%,8.4%,8.4%,8.4%,5.2%,5.2%,5.2%,5.2%
2013,7.9%,5.1%,2.2%,#DIV/0!,5.1%,4.0%,4.4%,4.0%,2.2%,2.2%,4.4%,5.1%,2.2%,5.1%,5.1%,7.9%,2.2%,5.1%,4.0%,2.2%,4.4%,4.0%,4.0%,4.0%,4.0%,4.0%,7.9%,7.9%,5.1%,5.1%,2.2%,2.2%,4.0%,7.9%,5.1%,5.1%,5.1%,5.1%,4.0%,5.1%,5.1%,4.0%,#DIV/0!,2.2%,2.2%,2.2%,5.1%,4.0%,2.2%,4.0%,5.1%,4.0%,5.1%,5.1%,#DIV/0!,2.2%,2.2%,5.1%,2.2%,7.9%,2.2%,7.9%,5.1%,2.2%,4.4%,5.1%,5.1%,#DIV/0!,5.1%,5.1%,5.1%,2.2%,4.0%,4.0%,#DIV/0!,4.0%,7.9%,4.0%,2.2%,4.0%,2.2%,7.9%,7.9%,2.2%,5.1%,5.1%,2.2%,2.2%,2.2%,4.0%,5.1%,7.9%,4.4%,5.1%,4.4%,7.9%,4.0%,7.9%,5.1%,7.9%,5.1%,5.1%,5.1%,#DIV/0!,7.9%,5.1%,2.2%,2.2%,2.2%,5.1%,4.4%,5.1%,4.0%,2.2%,5.1%,7.9%,2.2%,7.9%,5.1%,5.1%,#DIV/0!,5.1%,5.1%,7.9%,5.1%,#DIV/0!,5.1%,5.1%,4.0%,2.2%,2.2%,7.9%,7.9%,2.2%,5.1%,7.9%,4.0%,4.0%,7.9%,7.9%,7.9%,2.2%,4.0%,#DIV/0!,2.2%,4.0%,5.1%,5.1%,#DIV/0!,2.2%,4.4%,5.1%,5.1%,5.1%,5.1%,7.9%,5.1%,4.0%,2.2%,#DIV/0!,2.2%,5.1%,5.1%,4.0%,2.2%,2.2%,2.2%,#DIV/0!,5.1%,5.1%,7.9%,4.4%,4.4%,7.9%,7.9%,4.0%,5.1%,2.2%,7.9%,#DIV/0!,5.1%,5.1%,4.4%,4.0%,2.2%,4.4%,4.0%,7.9%,7.9%,7.9%,5.1%,5.1%,5.1%,5.1%
2014,7.4%,4.9%,2.2%,#DIV/0!,4.9%,3.9%,4.2%,3.9%,2.2%,2.2%,4.2%,4.9%,2.2%,4.9%,4.9%,7.4%,2.2%,4.9%,3.9%,2.2%,4.2%,3.9%,3.9%,3.9%,3.9%,3.9%,7.4%,7.4%,4.9%,4.9%,2.2%,2.2%,3.9%,7.4%,4.9%,4.9%,4.9%,4.9%,3.9%,4.9%,4.9%,3.9%,#DIV/0!,2.2%,2.2%,2.2%,4.9%,3.9%,2.2%,3.9%,4.9%,3.9%,4.9%,4.9%,#DIV/0!,2.2%,2.2%,4.9%,2.2%,7.4%,2.2%,7.4%,4.9%,2.2%,4.2%,4.9%,4.9%,#DIV/0!,4.9%,4.9%,4.9%,2.2%,3.9%,3.9%,#DIV/0!,3.9%,7.4%,3.9%,2.2%,3.9%,2.2%,7.4%,7.4%,2.2%,4.9%,4.9%,2.2%,2.2%,2.2%,3.9%,4.9%,7.4%,4.2%,4.9%,4.2%,7.4%,3.9%,7.4%,4.9%,7.4%,4.9%,4.9%,4.9%,#DIV/0!,7.4%,4.9%,2.2%,2.2%,2.2%,4.9%,4.2%,4.9%,3.9%,2.2%,4.9%,7.4%,2.2%,7.4%,4.9%,4.9%,#DIV/0!,4.9%,4.9%,7.4%,4.9%,#DIV/0!,4.9%,4.9%,3.9%,2.2%,2.2%,7.4%,7.4%,2.2%,4.9%,7.4%,3.9%,3.9%,7.4%,7.4%,7.4%,2.2%,3.9%,#DIV/0!,2.2%,3.9%,4.9%,4.9%,#DIV/0!,2.2%,4.2%,4.9%,4.9%,4.9%,4.9%,7.4%,4.9%,3.9%,2.2%,#DIV/0!,2.2%,4.9%,4.9%,3.9%,2.2%,2.2%,2.2%,#DIV/0!,4.9%,4.9%,7.4%,4.2%,4.2%,7.4%,7.4%,3.9%,4.9%,2.2%,7.4%,#DIV/0!,4.9%,4.9%,4.2%,3.9%,2.2%,4.2%,3.9%,7.4%,7.4%,7.4%,4.9%,4.9%,4.9%,4.9%
2015,7.0%,4.8%,2.1%,#DIV/0!,4.8%,3.8%,4.0%,3.8%,2.1%,2.1%,4.0%,4.8%,2.1%,4.8%,4.8%,7.0%,2.1%,4.8%,3.8%,2.1%,4.0%,3.8%,3.8%,3.8%,3.8%,3.8%,7.0%,7.0%,4.8%,4.8%,2.1%,2.1%,3.8%,7.0%,4.8%,4.8%,4.8%,4.8%,3.8%,4.8%,4.8%,3.8%,#DIV/0!,2.1%,2.1%,2.1%,4.8%,3.8%,2.1%,3.8%,4.8%,3.8%,4.8%,4.8%,#DIV/0!,2.1%,2.1%,4.8%,2.1%,7.0%,2.1%,7.0%,4.8%,2.1%,4.0%,4.8%,4.8%,#DIV/0!,4.8%,4.8%,4.8%,2.1%,3.8%,3.8%,#DIV/0!,3.8%,7.0%,3.8%,2.1%,3.8%,2.1%,7.0%,7.0%,2.1%,4.8%,4.8%,2.1%,2.1%,2.1%,3.8%,4.8%,7.0%,4.0%,4.8%,4.0%,7.0%,3.8%,7.0%,4.8%,7.0%,4.8%,4.8%,4.8%,#DIV/0!,7.0%,4.8%,2.1%,2.1%,2.1%,4.8%,4.0%,4.8%,3.8%,2.1%,4.8%,7.0%,2.1%,7.0%,4.8%,4.8%,#DIV/0!,4.8%,4.8%,7.0%,4.8%,#DIV/0!,4.8%,4.8%,3.8%,2.1%,2.1%,7.0%,7.0%,2.1%,4.8%,7.0%,3.8%,3.8%,7.0%,7.0%,7.0%,2.1%,3.8%,#DIV/0!,2.1%,3.8%,4.8%,4.8%,#DIV/0!,2.1%,4.0%,4.8%,4.8%,4.8%,4.8%,7.0%,4.8%,3.8%,2.1%,#DIV/0!,2.1%,4.8%,4.8%,3.8%,2.1%,2.1%,2.1%,#DIV/0!,4.8%,4.8%,7.0%,4.0%,4.0%,7.0%,7.0%,3.8%,4.8%,2.1%,7.0%,#DIV/0!,4.8%,4.8%,4.0%,3.8%,2.1%,4.0%,3.8%,7.0%,7.0%,7.0%,4.8%,4.8%,4.8%,4.8%
2016,6.7%,4.7%,2.1%,#DIV/0!,4.7%,3.7%,3.9%,3.7%,2.1%,2.1%,3.9%,4.7%,2.1%,4.7%,4.7%,6.7%,2.1%,4.7%,3.7%,2.1%,3.9%,3.7%,3.7%,3.7%,3.7%,3.7%,6.7%,6.7%,4.7%,4.7%,2.1%,2.1%,3.7%,6.7%,4.7%,4.7%,4.7%,4.7%,3.7%,4.7%,4.7%,3.7%,#DIV/0!,2.1%,2.1%,2.1%,4.7%,3.7%,2.1%,3.7%,4.7%,3.7%,4.7%,4.7%,#DIV/0!,2.1%,2.1%,4.7%,2.1%,6.7%,2.1%,6.7%,4.7%,2.1%,3.9%,4.7%,4.7%,#DIV/0!,4.7%,4.7%,4.7%,2.1%,3.7%,3.7%,#DIV/0!,3.7%,6.7%,3.7%,2.1%,3.7%,2.1%,6.7%,6.7%,2.1%,4.7%,4.7%,2.1%,2.1%,2.1%,3.7%,4.7%,6.7%,3.9%,4.7%,3.9%,6.7%,3.7%,6.7%,4.7%,6.7%,4.7%,4.7%,4.7%,#DIV/0!,6.7%,4.7%,2.1%,2.1%,2.1%,4.7%,3.9%,4.7%,3.7%,2.1%,4.7%,6.7%,2.1%,6.7%,4.7%,4.7%,#DIV/0!,4.7%,4.7%,6.7%,4.7%,#DIV/0!,4.7%,4.7%,3.7%,2.1%,2.1%,6.7%,6.7%,2.1%,4.7%,6.7%,3.7%,3.7%,6.7%,6.7%,6.7%,2.1%,3.7%,#DIV/0!,2.1%,3.7%,4.7%,4.7%,#DIV/0!,2.1%,3.9%,4.7%,4.7%,4.7%,4.7%,6.7%,4.7%,3.7%,2.1%,#DIV/0!,2.1%,4.7%,4.7%,3.7%,2.1%,2.1%,2.1%,#DIV/0!,4.7%,4.7%,6.7%,3.9%,3.9%,6.7%,6.7%,3.7%,4.7%,2.1%,6.7%,#DIV/0!,4.7%,4.7%,3.9%,3.7%,2.1%,3.9%,3.7%,6.7%,6.7%,6.7%,4.7%,4.7%,4.7%,4.7%
2017,6.4%,4.6%,2.1%,#DIV/0!,4.6%,3.6%,3.7%,3.6%,2.1%,2.1%,3.7%,4.6%,2.1%,4.6%,4.6%,6.4%,2.1%,4.6%,3.6%,2.1%,3.7%,3.6%,3.6%,3.6%,3.6%,3.6%,6.4%,6.4%,4.6%,4.6%,2.1%,2.1%,3.6%,6.4%,4.6%,4.6%,4.6%,4.6%,3.6%,4.6%,4.6%,3.6%,#DIV/0!,2.1%,2.1%,2.1%,4.6%,3.6%,2.1%,3.6%,4.6%,3.6%,4.6%,4.6%,#DIV/0!,2.1%,2.1%,4.6%,2.1%,6.4%,2.1%,6.4%,4.6%,2.1%,3.7%,4.6%,4.6%,#DIV/0!,4.6%,4.6%,4.6%,2.1%,3.6%,3.6%,#DIV/0!,3.6%,6.4%,3.6%,2.1%,3.6%,2.1%,6.4%,6.4%,2.1%,4.6%,4.6%,2.1%,2.1%,2.1%,3.6%,4.6%,6.4%,3.7%,4.6%,3.7%,6.4%,3.6%,6.4%,4.6%,6.4%,4.6%,4.6%,4.6%,#DIV/0!,6.4%,4.6%,2.1%,2.1%,2.1%,4.6%,3.7%,4.6%,3.6%,2.1%,4.6%,6.4%,2.1%,6.4%,4.6%,4.6%,#DIV/0!,4.6%,4.6%,6.4%,4.6%,#DIV/0!,4.6%,4.6%,3.6%,2.1%,2.1%,6.4%,6.4%,2.1%,4.6%,6.4%,3.6%,3.6%,6.4%,6.4%,6.4%,2.1%,3.6%,#DIV/0!,2.1%,3.6%,4.6%,4.6%,#DIV/0!,2.1%,3.7%,4.6%,4.6%,4.6%,4.6%,6.4%,4.6%,3.6%,2.1%,#DIV/0!,2.1%,4.6%,4.6%,3.6%,2.1%,2.1%,2.1%,#DIV/0!,4.6%,4.6%,6.4%,3.7%,3.7%,6.4%,6.4%,3.6%,4.6%,2.1%,6.4%,#DIV/0!,4.6%,4.6%,3.7%,3.6%,2.1%,3.7%,3.6%,6.4%,6.4%,6.4%,4.6%,4.6%,4.6%,4.6%
2018,6.1%,4.5%,2.1%,#DIV/0!,4.5%,3.6%,3.6%,3.6%,2.1%,2.1%,3.6%,4.5%,2.1%,4.5%,4.5%,6.1%,2.1%,4.5%,3.6%,2.1%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,6.1%,6.1%,4.5%,4.5%,2.1%,2.1%,3.6%,6.1%,4.5%,4.5%,4.5%,4.5%,3.6%,4.5%,4.5%,3.6%,#DIV/0!,2.1%,2.1%,2.1%,4.5%,3.6%,2.1%,3.6%,4.5%,3.6%,4.5%,4.5%,#DIV/0!,2.1%,2.1%,4.5%,2.1%,6.1%,2.1%,6.1%,4.5%,2.1%,3.6%,4.5%,4.5%,#DIV/0!,4.5%,4.5%,4.5%,2.1%,3.6%,3.6%,#DIV/0!,3.6%,6.1%,3.6%,2.1%,3.6%,2.1%,6.1%,6.1%,2.1%,4.5%,4.5%,2.1%,2.1%,2.1%,3.6%,4.5%,6.1%,3.6%,4.5%,3.6%,6.1%,3.6%,6.1%,4.5%,6.1%,4.5%,4.5%,4.5%,#DIV/0!,6.1%,4.5%,2.1%,2.1%,2.1%,4.5%,3.6%,4.5%,3.6%,2.1%,4.5%,6.1%,2.1%,6.1%,4.5%,4.5%,#DIV/0!,4.5%,4.5%,6.1%,4.5%,#DIV/0!,4.5%,4.5%,3.6%,2.1%,2.1%,6.1%,6.1%,2.1%,4.5%,6.1%,3.6%,3.6%,6.1%,6.1%,6.1%,2.1%,3.6%,#DIV/0!,2.1%,3.6%,4.5%,4.5%,#DIV/0!,2.1%,3.6%,4.5%,4.5%,4.5%,4.5%,6.1%,4.5%,3.6%,2.1%,#DIV/0!,2.1%,4.5%,4.5%,3.6%,2.1%,2.1%,2.1%,#DIV/0!,4.5%,4.5%,6.1%,3.6%,3.6%,6.1%,6.1%,3.6%,4.5%,2.1%,6.1%,#DIV/0!,4.5%,4.5%,3.6%,3.6%,2.1%,3.6%,3.6%,6.1%,6.1%,6.1%,4.5%,4.5%,4.5%,4.5%
2019,5.8%,4.4%,2.0%,#DIV/0!,4.4%,3.5%,3.5%,3.5%,2.0%,2.0%,3.5%,4.4%,2.0%,4.4%,4.4%,5.8%,2.0%,4.4%,3.5%,2.0%,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%,5.8%,5.8%,4.4%,4.4%,2.0%,2.0%,3.5%,5.8%,4.4%,4.4%,4.4%,4.4%,3.5%,4.4%,4.4%,3.5%,#DIV/0!,2.0%,2.0%,2.0%,4.4%,3.5%,2.0%,3.5%,4.4%,3.5%,4.4%,4.4%,#DIV/0!,2.0%,2.0%,4.4%,2.0%,5.8%,2.0%,5.8%,4.4%,2.0%,3.5%,4.4%,4.4%,#DIV/0!,4.4%,4.4%,4.4%,2.0%,3.5%,3.5%,#DIV/0!,3.5%,5.8%,3.5%,2.0%,3.5%,2.0%,5.8%,5.8%,2.0%,4.4%,4.4%,2.0%,2.0%,2.0%,3.5%,4.4%,5.8%,3.5%,4.4%,3.5%,5.8%,3.5%,5.8%,4.4%,5.8%,4.4%,4.4%,4.4%,#DIV/0!,5.8%,4.4%,2.0%,2.0%,2.0%,4.4%,3.5%,4.4%,3.5%,2.0%,4.4%,5.8%,2.0%,5.8%,4.4%,4.4%,#DIV/0!,4.4%,4.4%,5.8%,4.4%,#DIV/0!,4.4%,4.4%,3.5%,2.0%,2.0%,5.8%,5.8%,2.0%,4.4%,5.8%,3.5%,3.5%,5.8%,5.8%,5.8%,2.0%,3.5%,#DIV/0!,2.0%,3.5%,4.4%,4.4%,#DIV/0!,2.0%,3.5%,4.4%,4.4%,4.4%,4.4%,5.8%,4.4%,3.5%,2.0%,#DIV/0!,2.0%,4.4%,4.4%,3.5%,2.0%,2.0%,2.0%,#DIV/0!,4.4%,4.4%,5.8%,3.5%,3.5%,5.8%,5.8%,3.5%,4.4%,2.0%,5.8%,#DIV/0!,4.4%,4.4%,3.5%,3.5%,2.0%,3.5%,3.5%,5.8%,5.8%,5.8%,4.4%,4.4%,4.4%,4.4%
