year,iso3,gdp,ssp,gdp_growth
2010,TWN,331003847502.834,SSP2,NA
2011,TWN,360999932889.7447,SSP2,0.09062156108821018
2012,TWN,391483946225.2592,SSP2,0.08444326593496854
2013,TWN,422455887509.37744,SSP2,0.07911420527649682
2014,TWN,453915756742.0995,SSP2,0.07446900413246982
2015,TWN,485863553923.4251,SSP2,0.07038265736934379
2016,TWN,518299279053.3546,SSP2,0.06675891794724231
2017,TWN,551222932131.8878,SSP2,0.0635224751588821
2018,TWN,584634513159.0247,SSP2,0.060613554116690116
2019,TWN,618534022134.7655,SSP2,0.05798410496254758
2020,TWN,652921459059.11,SSP2,0.05559506137699932
2021,TWN,692197693791.4891,SSP2,0.06015460847155807
2022,TWN,731921223177.4553,SSP2,0.057387549456257014
2023,TWN,772092047217.0082,SSP2,0.05488408146598234
2024,TWN,812710165910.1476,SSP2,0.052607870835539305
2025,TWN,853775579256.8743,SSP2,0.05052897708094717
2026,TWN,895288287257.1876,SSP2,0.048622505736748645
2027,TWN,937248289911.0878,SSP2,0.04686758807316593
2028,TWN,979655587218.5746,SSP2,0.04524659875507453
2029,TWN,1022510179179.6482,SSP2,0.043744549125418475
2030,TWN,1065812065794.3083,SSP2,0.04234861177558247
2031,TWN,1104495839112.7578,SSP2,0.03629511670954866
2032,TWN,1143441250550.668,SSP2,0.035260804123259604
2033,TWN,1182648300108.0403,SSP2,0.034288643634721616
2034,TWN,1222116987784.8738,SSP2,0.03337314032686467
2035,TWN,1261847313581.1685,SSP2,0.032509429288195335
2036,TWN,1301839277496.925,SSP2,0.031693187824965774
2037,TWN,1342092879532.1428,SSP2,0.03092056195493975
2038,TWN,1382608119686.822,SSP2,0.030188104543705574
2039,TWN,1423384997960.9626,SSP2,0.029492722987463083
2040,TWN,1464423514354.565,SSP2,0.028831634766694147
2041,TWN,1503481645566.7378,SSP2,0.026671335736771162
2042,TWN,1542647977260.8696,SSP2,0.02605042223802334
2043,TWN,1581922509436.961,SSP2,0.02545916680604421
2044,TWN,1621305242095.011,SSP2,0.024895487878269895
2045,TWN,1660796175235.0198,SSP2,0.024357494267383872
2046,TWN,1700395308856.989,SSP2,0.02384346388343861
2047,TWN,1740102642960.9167,SSP2,0.023351825247400315
2048,TWN,1779918177546.804,SSP2,0.02288114137803854
2049,TWN,1819841912614.6497,SSP2,0.02243009570410215
2050,TWN,1859873848164.4548,SSP2,0.021997479710910373
2051,TWN,1898279669075.858,SSP2,0.02064969134831718
2052,TWN,1936627548122.0815,SSP2,0.020201385323213472
2053,TWN,1974917485303.1284,SSP2,0.019771451262363904
2054,TWN,2013149480618.9956,SSP2,0.019358781113834267
2055,TWN,2051323534069.6843,SSP2,0.01896235417101333
2056,TWN,2089439645655.1948,SSP2,0.018581228632370328
2057,TWN,2127497815375.5269,SSP2,0.018214534121371084
2058,TWN,2165498043230.68,SSP2,0.017861465041479008
2059,TWN,2203440329220.6553,SSP2,0.017521274659463515
2060,TWN,2241324673345.4517,SSP2,0.017193269825553248
2061,TWN,2281429721700.6333,SSP2,0.017893457753855868
2062,TWN,2321309832896.741,SSP2,0.017480315442888195
2063,TWN,2360965006933.7744,SSP2,0.017083102597962085
2064,TWN,2400395243811.7334,SSP2,0.01670089847251388
2065,TWN,2439600543530.6187,SSP2,0.016332851775122226
2066,TWN,2478580906090.429,SSP2,0.015978174239704712
2067,TWN,2517336331491.1665,SSP2,0.01563613489699156
2068,TWN,2555866819732.8276,SSP2,0.01530605495962356
2069,TWN,2594172370815.417,SSP2,0.014987303245555417
2070,TWN,2632252984738.9297,SSP2,0.014679292074775585
2071,TWN,2672520423589.8286,SSP2,0.01529770849700185
2072,TWN,2712409362105.726,SSP2,0.01492558790713261
2073,TWN,2751919800286.624,SSP2,0.014566546898446386
2074,TWN,2791051738132.52,SSP2,0.014219868559330884
2075,TWN,2829805175643.4146,SSP2,0.013884886826506682
2076,TWN,2868180112819.31,SSP2,0.013560982044345193
2077,TWN,2906176549660.204,SSP2,0.013247576981330056
2078,TWN,2943794486166.096,SSP2,0.012944133249678247
2079,TWN,2981033922336.989,SSP2,0.012650148081292167
2080,TWN,3017894858172.88,SSP2,0.012365151419341691
2081,TWN,3058044235478.4663,SSP2,0.013303769412925881
2082,TWN,3097663595911.732,SSP2,0.012955783952898425
2083,TWN,3136752939472.676,SSP2,0.012618976318969466
2084,TWN,3175312266161.3003,SSP2,0.0122927522290317
2085,TWN,3213341575977.604,SSP2,0.011976557462261228
2086,TWN,3250840868921.586,SSP2,0.011669874508306366
2087,TWN,3287810144993.248,SSP2,0.011372219546361917
2088,TWN,3324249404192.59,SSP2,0.011083139716820956
2089,TWN,3360158646519.6113,SSP2,0.010802210652946842
2090,TWN,3395537871974.3115,SSP2,0.01052903424406626
2091,TWN,3436549989960.3955,SSP2,0.01207823901025673
2092,TWN,3476920713589.686,SSP2,0.011747457114615
2093,TWN,3516650042862.1826,SSP2,0.011426584770027448
2094,TWN,3555737977777.8887,SSP2,0.01111510512541436
2095,TWN,3594184518336.802,SSP2,0.010812534781581284
2096,TWN,3631989664538.9224,SSP2,0.010518421079731999
2097,TWN,3669153416384.2505,SSP2,0.010232339647928468
2098,TWN,3705675773872.7866,SSP2,0.009953892177265944
2099,TWN,3741556737004.53,SSP2,0.009682704402993236
2100,TWN,3776796305779.479,SSP2,0.00941842426881423
2101,TWN,3812268087657.8945,SSP2,0.009392029383245903
2102,TWN,3847971793358.8374,SSP2,0.009365476110279936
2103,TWN,3883907111308.284,SSP2,0.009338768545930298
2104,TWN,3920073707599.826,SSP2,0.00931191072676274
2105,TWN,3956471225960.22,SSP2,0.009284906630666168
2106,TWN,3993099287719.772,SSP2,0.009257760177609375
2107,TWN,4029957491787.5654,SSP2,0.009230475230391999
2108,TWN,4067045414631.521,SSP2,0.009203055595384146
2109,TWN,4104362610263.29,SSP2,0.009175505023257813
2110,TWN,4141908610227.966,SSP2,0.009147827209708304
2111,TWN,4179682923598.6104,SSP2,0.009120025796166775
2112,TWN,4217685036975.592,SSP2,0.009092104370506338
2113,TWN,4255914414490.701,SSP2,0.009064066467732834
2114,TWN,4294370497816.0625,SSP2,0.009035915570676067
2115,TWN,4333052706177.801,SSP2,0.009007655110664148
2116,TWN,4371960436374.462,SSP2,0.008979288468194513
2117,TWN,4411093062800.166,SSP2,0.008950818973594288
2118,TWN,4450449937472.4795,SSP2,0.008922249907674651
2119,TWN,4490030390064.964,SSP2,0.00889358450237121
2120,TWN,4529833727944.425,SSP2,0.008864825941386378
2121,TWN,4569859236212.785,SSP2,0.008835977360812208
2122,TWN,4610106177753.598,SSP2,0.008807041849754338
2123,TWN,4650573793283.159,SSP2,0.008778022450945056
2124,TWN,4691261301406.193,SSP2,0.008748922161346817
2125,TWN,4732167898676.074,SSP2,0.008719743932749768
2126,TWN,4773292759659.578,SSP2,0.008690490672363715
2127,TWN,4814635037006.113,SSP2,0.00866116524339966
2128,TWN,4856193861521.399,SSP2,0.00863177046564445
2129,TWN,4897968342245.581,SSP2,0.008602309116031437
2130,TWN,4939957566535.702,SSP2,0.00857278392919758
2131,TWN,4982160600152.56,SSP2,0.008543197598042118
2132,TWN,5024576487351.849,SSP2,0.00851355277427035
2133,TWN,5067204250979.589,SSP2,0.008483852068934539
2134,TWN,5110042892571.79,SSP2,0.008454098052968595
2135,TWN,5153091392458.309,SSP2,0.008424293257713433
2136,TWN,5196348709870.859,SSP2,0.008394440175437001
2137,TWN,5239813783055.139,SSP2,0.0083645412598492
2138,TWN,5283485529387.016,SSP2,0.008334598926607928
2139,TWN,5327362845492.747,SSP2,0.008304615553820227
2140,TWN,5371444607373.17,SSP2,0.008274593482536785
2141,TWN,5415729670531.82,SSP2,0.00824453501723954
2142,TWN,5460216870106.945,SSP2,0.008214442426325297
2143,TWN,5504905021007.334,SSP2,0.0081843179425789
2144,TWN,5549792918051.957,SSP2,0.008154163763648192
